Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778497984,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778497985,20,,Aggregated,0.000000,0.000000,15,34,100,110,160,180,180,200,200,200,200,65,0,15,51.33383492301129,6.45298599920352,198.49325900213444,56.38461538461539
1778497986,40,,Aggregated,0.000000,0.000000,31,61,100,120,180,210,310,440,480,480,480,147,0,31,67.56855734004473,6.45298599920352,481.2432619983156,62.16326530612245
1778497987,60,,Aggregated,22.000000,0.000000,30,55,94,120,190,330,420,550,600,600,600,279,0,30,76.36095479914253,6.45298599920352,599.1631069991854,58.07885304659498
1778497988,80,,Aggregated,49.500000,0.000000,31,50,79,100,180,340,500,640,1700,1700,1700,397,0,31,79.59409164221289,6.45298599920352,1654.2136959978961,57.005037783375315
1778497989,100,,Aggregated,61.666667,0.000000,32,50,80,110,200,460,770,830,1700,1700,1700,516,0,32,93.91722066084185,6.45298599920352,1654.2136959978961,55.031007751937985
1778497990,100,,Aggregated,78.000000,0.000000,31,47,76,100,200,390,720,830,1700,1700,1700,643,0,31,89.51374458317656,6.45298599920352,1654.2136959978961,55.07309486780716
1778497991,100,,Aggregated,85.000000,0.000000,31,47,75,100,220,390,690,820,1700,1700,1700,748,0,31,88.79123671656629,6.45298599920352,1654.2136959978961,55.43716577540107
1778497992,100,,Aggregated,91.500000,0.000000,33,52,82,120,270,500,770,970,3100,3100,3100,856,0,33,109.3701772581362,6.45298599920352,3055.4462799991597,55.26051401869159
1778497993,100,,Aggregated,96.142857,0.000000,33,52,80,110,250,480,750,890,3100,3100,3100,970,0,33,103.66557441955536,6.45298599920352,3055.4462799991597,55.48453608247423
1778497994,100,,Aggregated,96.250000,0.000000,33,55,84,110,260,480,720,890,2300,3100,3100,1064,0,33,104.89651374995843,6.45298599920352,3055.4462799991597,55.19830827067669
1778497995,100,,Aggregated,99.666667,0.000000,34,58,88,120,290,530,780,900,2300,3100,3100,1173,0,34,111.45120165468849,6.45298599920352,3055.4462799991597,55.49872122762148
1778497996,100,,Aggregated,100.700000,0.000000,33,58,92,140,370,760,7700,8800,9000,9000,9000,1354,0,33,313.9978931971659,6.45298599920352,8998.477676999755,55.63810930576071
1778497997,100,,Aggregated,108.200000,0.000000,33,56,89,130,350,720,7700,8800,9000,9000,9000,1473,0,33,298.8400971398269,6.45298599920352,9006.496396003058,55.25322471147319
1778497998,100,,Aggregated,111.500000,0.000000,34,56,91,140,360,690,7700,8800,9000,9000,9000,1593,0,34,286.03440660448996,6.45298599920352,9006.496396003058,55.32203389830509
1778497999,100,,Aggregated,121.800000,0.000000,33,54,87,130,370,750,3300,8800,9000,9000,9000,1740,0,33,282.3095251643335,6.45298599920352,9006.496396003058,55.157471264367814
1778498000,100,,Aggregated,119.800000,0.000000,32,53,87,130,390,820,3800,7900,9000,9000,9000,1909,0,32,285.61208046146294,6.45298599920352,9006.496396003058,54.55212152959665
1778498001,100,,Aggregated,122.300000,0.000000,31,51,83,120,370,820,3900,7900,9000,9000,9000,2065,0,31,282.95392416557956,6.45298599920352,9006.496396003058,54.50024213075061
1778498002,100,,Aggregated,123.300000,0.000000,32,51,84,120,370,790,3800,7900,9000,9000,9000,2172,0,32,273.40869418781506,6.45298599920352,9006.496396003058,54.36740331491713
1778498003,100,,Aggregated,130.100000,0.000000,32,53,85,130,370,800,3800,7900,9000,9000,9000,2277,0,32,268.3208685182049,6.45298599920352,9006.496396003058,54.54896794027229
1778498004,100,,Aggregated,133.400000,0.000000,33,54,87,130,400,850,3700,7800,9000,9000,9000,2440,0,33,273.29904975858585,6.45298599920352,9006.496396003058,54.665983606557376
